Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT L,Сумки с короткими ручками,MARC JACOBS,Экзотическая кожа,Серебряный,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,52000
INT S,Клатчи и вечерние сумки,VERSACE,Кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,38000
INT M,Сумки через плечо,BALENCIAGA,Кожа,Желтый,Длинный ремень,0,Новое с биркой,Crush,0,0,0,Люксовые,Произведенные на фабрике,1,345000
INT U,Сумки с короткими ручками,BURBERRY,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,27000
INT M,Сумки с короткими ручками,KARL LAGERFELD,Искусственная кожа,Мульти,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17950
INT U,Клатчи и вечерние сумки,BVLGARI,Экзотическая кожа,Коралловый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Экстремально люксовые,Произведенные на фабрике,0,2800000
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15150
INT XS,Сумки через плечо,MARC JACOBS,Кожа,Золотой,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,13600
INT XS,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Коричневый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,690000
INT XS,Сумки с короткими ручками,BALENCIAGA,Экзотическая кожа,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,690000
INT S,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15150
INT M,Сумки тоут,GOYARD,Искусственная кожа,Синий,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,180000
INT M,Сумки с короткими ручками,SAINT LAURENT,Другое,Коричневый,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,175000
INT U,Сумки через плечо,GOYARD,Кожа,Мульти,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,350000
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Экстремально люксовые,Сделанные вручную,0,385000
INT U,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,429000
INT S,Сумки через плечо,LOVE MOSCHINO,Кожа,Бирюзовый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17000
INT L,Сумки через плечо,MARC JACOBS,Кожа,Белый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,30000
INT XL,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,175000
INT U,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,105890
INT S,Сумки через плечо,BURBERRY,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,170000
INT U,Сумки через плечо,A.P.C.,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,1,Дорогие,Произведенные на фабрике,0,52000
INT U,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,105890
INT S,Сумки через плечо,GUCCI,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,176000
INT S,Сумки через плечо,MICHAEL KORS,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,26900
INT S,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,185000
INT U,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,131000
INT S,Сумки через плечо,LOEWE,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,265000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Бежевый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,225000
INT XS,Сумки через плечо,BALENCIAGA,Другое,Зеленый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,105000
INT S,Сумки через плечо,BALMAIN,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,138000
INT S,Сумки с короткими ручками,DIESEL,Кожа,Золотой,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,39900
INT XS,Сумки через плечо,BOTTEGA VENETA,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,105000
INT M,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Бордовый,Короткие ручки,0,Отличное состояние,Lady,0,0,1,Люксовые,Сделанные вручную,1,195000
INT M,Сумки с короткими ручками,GUCCI,Кожа,Другое,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,170000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,230000
INT S,Сумки с короткими ручками,VALENTINO,Кожа,Другое,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,145000
INT M,Сумки через плечо,MIU MIU,Другое,Другое,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,180000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Зеленый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,230000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Голубой,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,225000
INT XS,Сумки через плечо,BALENCIAGA,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,180000
INT M,Сумки через плечо,GUCCI,Другое,Другое,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,112000
INT U,Сумки через плечо,SAINT LAURENT,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,132500
INT U,Сумки тоут,SAINT LAURENT,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,240000
INT L,Сумки тоут,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,152000
INT U,Сумки тоут,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,262480
INT L,Сумки с короткими ручками,VERSACE,Кожа,Черный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,36000
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,166670
INT S,Сумки через плечо,MICHAEL KORS,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,14900
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,230000
INT M,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,77380
INT U,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,20000
INT M,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,64000
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,95000
INT U,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,198800
INT U,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,25000
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,135000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,104600
INT U,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,429000
INT M,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,152000
INT XL,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,175000
INT S,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,145800
INT U,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,30000
INT XS,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,800000
INT U,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,1,Новое с биркой,Ordinary,0,1,1,Доступные,Произведенные на фабрике,0,29900
INT U,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,105890
INT S,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,155800
INT U,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,105890
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Alma,0,0,0,Люксовые,Произведенные на фабрике,1,155800
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,83000
INT U,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,45000
INT S,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,295000
INT M,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,155000
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,230000
INT M,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,77380
INT M,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Средние ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,183000
INT U,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,20000
INT M,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,64000
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Короткие ручки,0,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,155000
INT U,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,Loulou,0,0,0,Люксовые,Завершенные вручную,1,262480
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,95000
INT U,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,198800
INT U,Сумки с короткими ручками,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,170610
INT U,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,25000
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,135000
INT S,Сумки с короткими ручками,MIU MIU,Другое,Розовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,225000
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,104600
INT M,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,152000
INT M,Рюкзаки,MICHAEL KORS,Кожа,Коричневый,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,28990
INT U,Сумки тоут,PRADA,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,158333
INT S,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,145800
INT U,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,30000
INT U,Сумки тоут,SAINT LAURENT,Ткань,Белый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,177976
INT XS,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,800000
INT U,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,1,Новое с биркой,Ordinary,0,1,1,Доступные,Произведенные на фабрике,0,29900
INT U,Сумки тоут,PRADA,Кожа,Коричневый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,365357
INT S,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,155800
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Alma,0,0,0,Люксовые,Произведенные на фабрике,1,155800
INT U,Сумки с короткими ручками,MIU MIU,Кожа,Фиолетовый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,192262
INT U,Сумки тоут,FENDI,Ткань,Коричневый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,375900
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Люксовые,Произведенные на фабрике,0,83000
INT U,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,45000
INT U,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Ordinary,0,0,1,Люксовые,Произведенные на фабрике,0,207900
INT S,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,295000
INT U,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,0,Отличное состояние,Petite Malle,0,0,0,Люксовые,Произведенные на фабрике,1,120000
INT U,Сумки через плечо,SAINT LAURENT,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Manhattan,0,0,1,Люксовые,Завершенные вручную,1,275900
INT U,Пляжные сумки,ZIMMERMANN,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,130000
INT S,Сумки с короткими ручками,COACH,Кожа,Белый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,13500
INT U,Сумки тоут,BURBERRY,Другое,Мульти,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,128658
INT U,Сумки тоут,FENDI,Кожа,Темно-синий,Длинный ремень,1,Новое с биркой,Peekaboo,0,0,1,Люксовые,Сделанные вручную,1,682990
INT M,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,73400
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,85000
INT U,Сумки через плечо,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,469990
INT S,Сумки через плечо,CHANEL PRE-OWNED,Замша,Розовый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,232000
INT XS,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Pochette,1,0,0,Люксовые,Произведенные на фабрике,1,69500
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,115000
INT XS,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,107150
INT S,Сумки через плечо,FENDI,Кожа,Серый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,55500
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,110000
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,100000
INT M,Сумки через плечо,MICHAEL KORS,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17900
INT S,Сумки через плечо,MICHAEL KORS,Другое,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15500
INT U,Сумки тоут,TOTEME,Кожа,Другое,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,130941
INT M,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,22500
INT S,Сумки через плечо,DIESEL,Деним,Голубой,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,75000
INT U,Сумки тоут,LOEWE,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,117418
INT S,Сумки с короткими ручками,PRADA,Ткань,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,190000
INT M,Сумки тоут,SAINT LAURENT,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,110000
INT U,Сумки с короткими ручками,JACQUEMUS,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,122294
INT S,Сумки с короткими ручками,BALENCIAGA,Кожа,Антрацит,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,418000
INT XS,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Pochette,1,0,0,Люксовые,Произведенные на фабрике,1,90000
INT L,Сумки тоут,STELLA MCCARTNEY,Шерсть,Другое,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,15000
INT U,Сумки с короткими ручками,PRADA,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,223448
INT XL,Сумки тоут,GUCCI,Другое,Бежевый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,165000
INT M,Сумки через плечо,GUCCI,Ткань,Бежевый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,55000
INT U,Сумки с короткими ручками,FENDI,Кожа,Белый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,626900
INT L,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,260000
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,Capucines,0,0,0,Люксовые,Произведенные на фабрике,1,585000
INT U,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,720900
INT U,Сумки с короткими ручками,FENDI,Кожа,Серый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,673900
INT S,Сумки через плечо,PRADA,Другое,Черный,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,79000
INT M,Сумки через плечо,DOLCE&GABBANA,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,46000
INT U,Сумки с короткими ручками,FENDI,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,Ordinary,0,0,1,Люксовые,Сделанные вручную,0,673900
INT S,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Новое с биркой,Pochette,0,0,0,Люксовые,Произведенные на фабрике,1,69000
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Серый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,309530
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Золотой,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,185000
INT S,Сумки через плечо,NINA RICCI,Замша,Серый,Средние ручки,0,Хорошее состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,13500
INT S,Сумки тоут,HERMES PRE-OWNED,Кожа,Синий,Длинный ремень,0,Отличное состояние,Jypsiere,0,0,0,Экстремально люксовые,Сделанные вручную,1,800000
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,663340
INT S,Сумки через плечо,ALAIA,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,1,0,0,Доступные,Произведенные на фабрике,0,10000
INT S,Поясные сумки,GUCCI,Кожа,Бежевый,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,39000
INT M,Сумки с короткими ручками,SAINT LAURENT,Лакированная кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Завершенные вручную,0,26500
INT XS,Рюкзаки,MICHAEL KORS,Кожа,Красный,Средние ручки,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,12500
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,180000
INT XS,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,200000
INT S,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,46920
INT U,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Бежевый,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Доступный люкс,Произведенные на фабрике,0,27000
INT S,Сумки через плечо,FURLA,Кожа,Голубой,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,12000
INT S,Сумки с короткими ручками,LOEWE,Замша,Голубой,Средние ручки,0,Отличное состояние,Ordinary,1,0,0,Люксовые,Сделанные вручную,0,19000
INT L,Сумки с короткими ручками,SOPHIE HULME,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,28500
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,89000
INT U,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Хорошее состояние,Ordinary,1,0,0,Люксовые,Произведенные на фабрике,0,50000
