Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Модель,Винтаж,Наличие коробки,Наличие сертификата,Ценовая категория,Метод производства,Легенда,Цена
INT S,Сумки с короткими ручками,GUCCI,Ткань,Черный,Короткие ручки,1,Новое с биркой,Ordinary,0,1,0,Люксовые,Завершенные вручную,0,170000
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Бордовый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,365000
INT U,Сумки через плечо,EMPORIO ARMANI,Ткань,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,45900
INT U,Сумки через плечо,EMPORIO ARMANI,Кожа,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,45900
INT L,Сумки тоут,BALENCIAGA,Кожа,Черный,Средние ручки,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,320000
INT S,Сумки через плечо,PINKO,Кожа,Серый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,42670
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Голубой,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,21630
INT U,Сумки тоут,JACQUEMUS,Кожа,Желтый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Доступный люкс,Завершенные вручную,0,55000
INT S,Сумки через плечо,GUCCI,Ткань,Бежевый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,180000
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,35630
INT S,Сумки через плечо,OFF-WHITE,Кожа,Белый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступный люкс,Произведенные на фабрике,0,40000
INT S,Сумки тоут,BOTTEGA VENETA,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,166500
INT U,Сумки через плечо,PINKO,Другое,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,46830
INT U,Сумки через плечо,EMPORIO ARMANI,Искусственная кожа,Розовый,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,19530
INT M,Сумки через плечо,VICTORIA BECKHAM,Кожа,Синий,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,17000
INT S,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Красный,Длинный ремень,0,Отличное состояние,Twist,0,0,0,Люксовые,Произведенные на фабрике,1,175000
INT S,Сумки через плечо,FENDI,Кожа,Голубой,Длинный ремень,1,Новое с биркой,Ordinary,0,1,0,Люксовые,Сделанные вручную,0,173000
INT U,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,125000
INT S,Поясные сумки,GUCCI,Кожа,Коричневый,Средние ручки,1,Отличное состояние,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,55000
INT XS,Сумки через плечо,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Сделанные вручную,0,210000
INT XS,Поясные сумки,KENZO,Ткань,Бежевый,Длинный ремень,0,Отличное состояние,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,11300
INT S,Рюкзаки,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Kelly,0,0,0,Экстремально люксовые,Сделанные вручную,1,1100000
INT S,Сумки через плечо,MICHAEL KORS,Искусственная кожа,Бежевый,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,18390
INT M,Сумки с короткими ручками,MICHAEL KORS,Другое,Черный,Средние ручки,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,12390
INT M,Сумки через плечо,MICHAEL KORS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Доступные,Произведенные на фабрике,0,18000
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Желтый,Длинный ремень,1,Новое с биркой,Ordinary,0,1,1,Экстремально люксовые,Сделанные вручную,0,373000
INT U,Сумки с короткими ручками,MIU MIU,Другое,Черный,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,108706
INT M,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,190000
INT S,Сумки через плечо,GUCCI,Кожа,Белый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Завершенные вручную,0,180000
INT S,Сумки через плечо,BALENCIAGA,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,160000
INT S,Сумки через плечо,BALENCIAGA,Кожа,Черный,Длинный ремень,1,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,220000
INT U,Сумки тоут,SAINT LAURENT,Кожа,Хаки,Средние ручки,1,Новое с биркой,Le 5 a 7,0,0,0,Люксовые,Завершенные вручную,1,330000
INT U,Сумки с короткими ручками,NEOUS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Ordinary,0,0,0,Дорогие,Произведенные на фабрике,0,105000
INT U,Сумки с короткими ручками,MIU MIU,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,Ordinary,0,0,0,Люксовые,Произведенные на фабрике,0,108706
INT M,Сумки через плечо,BALENCIAGA,Кожа,Черный,Длинный ремень,1,Новое с биркой,Crush,0,0,0,Люксовые,Произведенные на фабрике,1,290000
INT M,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Длинный ремень,1,Отличное состояние,Ordinary,0,0,0,Экстремально люксовые,Сделанные вручную,0,299000
